Sample no. ,Size Class,[L]ong Axis (A),[I]ntermediate Axis (B),[S]hort Axis (C),Average,Phi Value,LI,S2,S2/LI,L-I,L-S,Descriptive term (U-W),(L-I/L-S),Oblate / Prolate Index,Maximum Projection Sphericity,I/L (Elongation),S/L (Flatness),I/L x 100 (Co-efficient Elongation),S/L x 100 (Co-eficient Flatness),Shape,Roundness (Krumbein),Lithology,Rock Type,Remarks,
Sample no. ,Size Class,L,I,S,Ave,Phi,LI,S2,S2/LI,L-I,L-S,Description,(L-I/L-S),OPI,MPS,I/L,S/L,ER,FL,Shape,Roundness,Lithology,Rock Type,Remarks,
1,16,33.333,21.93,18.71,24.66,-4.624,730.993,350.064,0.479,11.403,14.623,Pebble,0.78,1.57,0.16,0.658,0.561,65.791,56.131,Bladed,0.5,Andesite,Igneous,"Weathered, white colored, no grains visible",
2,32,45.03,42.74,28.81,38.86,-5.28,1924.582,830.016,0.431,2.29,16.22,Pebble,0.141,-2.3,0.144,0.949,0.64,94.915,63.98,Oblate,0.6,Unidentifiable,Others,Weathered,
3,16,26.2,18.13,17.19,20.51,-4.358,475.006,295.496,0.622,8.07,9.01,Pebble,0.896,2.6,0.207,0.692,0.656,69.198,65.611,Oblate,0.6,Andesite,Igneous,Weathered,
4,45,75.85,57.29,45.46,59.53,-5.896,4345.447,2066.612,0.476,18.56,30.39,Pebble,0.611,0.66,0.159,0.755,0.599,75.531,59.934,Oblate,0.6,Peridotite,Igneous,Weathered,for thin section
5,32,48.85,42.03,37.94,42.94,-5.424,2053.166,1439.444,0.701,6.82,10.91,Pebble,0.625,0.97,0.234,0.86,0.777,86.039,77.666,Equant,0.6,Unidentifiable,Others,Weathered,
6,32,49.72,32.63,27.58,36.64,-5.195,1622.364,760.656,0.469,17.09,22.14,Pebble,0.772,1.51,0.156,0.656,0.555,65.628,55.471,Bladed,0.6,Unidentifiable,Others,Weathered,
7,45,86.93,59.36,48.86,65.05,-6.023,5160.165,2387.3,0.463,27.57,38.07,Cobble,0.724,1.26,0.154,0.683,0.562,68.285,56.206,Oblate,0.8,Unidentifiable,Others,Weathered,
8,22.6,38.27,26.04,15.77,26.69,-4.738,996.551,248.693,0.25,12.23,22.5,Pebble,0.544,0.18,0.083,0.68,0.412,68.043,41.207,Oblate,0.6,Unidentifiable,Others,Weathered,
9,22.6,37.98,25.64,12.46,25.36,-4.664,973.807,155.252,0.159,12.34,25.52,Pebble,0.484,-0.05,0.053,0.675,0.328,67.509,32.807,Oblate,0.6,Andesite,Igneous,Weathered,
10,22.6,40.46,30.35,21.48,30.76,-4.943,1227.961,461.39,0.376,10.11,18.98,Pebble,0.533,0.17,0.125,0.75,0.531,75.012,53.089,Oblate,0.6,chert,Sedimentary,"with sparks when hit, weathered",
11,22.6,62.01,28.57,24.05,38.21,-5.256,1771.626,578.403,0.326,33.44,37.96,Pebble,0.881,1.48,0.109,0.461,0.388,46.073,38.784,Bladed,0.6,Andesite,Igneous,Weathered,
12,32,60.76,40.16,30.3,43.74,-5.451,2440.122,918.09,0.376,20.6,30.46,Pebble,0.676,0.88,0.125,0.661,0.499,66.096,49.868,Bladed,0.8,Basalt,Igneous,"Weathered, black, no visible grains",for thin section
13,16,29.5,21.7,14.96,22.05,-4.463,640.15,223.802,0.35,7.8,14.54,Pebble,0.536,0.18,0.117,0.736,0.507,73.559,50.712,Oblate,0.6,Unidentifiable,Others,Weathered,
14,16,25.5,19.72,16.46,20.56,-4.362,502.86,270.932,0.539,5.78,9.04,Pebble,0.639,0.9,0.18,0.773,0.645,77.333,64.549,Oblate,0.8,Unidentifiable,Others,Weathered,
15,32,47.51,34.96,26.43,36.3,-5.182,1660.95,698.545,0.421,12.55,21.08,Pebble,0.595,0.53,0.14,0.736,0.556,73.585,55.63,Oblate,0.8,Sedimentary,Sedimentary,"Weathered, white, powdery, no grains visible",for thin section
16,11.3,20.41,14.5,15.62,16.84,-4.074,295.945,243.984,0.824,5.91,4.79,Pebble,1.234,5.62,0.275,0.71,0.765,71.044,76.531,Equant,0.5,Andesite,Igneous,"Weathered, white, powdery, no grains visible",
17,22.6,45.96,30.04,23.33,33.11,-5.049,1380.638,544.289,0.394,15.92,22.63,Pebble,0.703,1.03,0.131,0.654,0.508,65.361,50.762,Bladed,0.6,Unidentifiable,Others,Weathered,
18,11.3,20.79,15.18,14.89,16.95,-4.083,315.592,221.712,0.703,5.61,5.9,Pebble,0.951,3.23,0.234,0.73,0.716,73.016,71.621,Equant,0.5,Andesite,Igneous,"Weathered, white gray, no grains visible",
19,16,24.13,18.54,12.43,18.37,-4.199,447.37,154.505,0.345,5.59,11.7,Pebble,0.478,-0.11,0.115,0.768,0.515,76.834,51.513,Oblate,0.5,Andesite,Igneous,,
20,32,42.23,38.05,25.04,35.11,-5.134,1606.852,627.002,0.39,4.18,17.19,Pebble,0.243,-1.52,0.13,0.901,0.593,90.102,59.294,Oblate,0.6,Peridotite,Igneous,,for thin section
21,16,21.81,16.59,8.54,15.65,-3.968,361.828,72.932,0.202,5.22,13.27,Pebble,0.393,-0.42,0.067,0.761,0.392,76.066,39.156,Oblate,0.8,Unidentifiable,Others,"Weathered, Px grains 1-2mm",
22,45,54.14,46.1,17.29,39.18,-5.292,2495.854,298.944,0.12,8.04,36.85,Pebble,0.218,-0.9,0.04,0.851,0.319,85.15,31.936,Oblate,0.5,Unidentifiable,Others,"Flat, weathered",
23,22.6,60.28,28.66,26.35,38.43,-5.264,1727.625,694.323,0.402,31.62,33.93,Pebble,0.932,1.89,0.134,0.475,0.437,47.545,43.713,Bladed,0.6,Unidentifiable,Others,Platy structures,for thin section
24,22.6,36.09,25.39,15,25.49,-4.672,916.325,225,0.246,10.7,21.09,Pebble,0.507,0.03,0.082,0.704,0.416,70.352,41.563,Oblate,0.5,chert,Sedimentary,"Greenish, crystalline",for thin section
25,16,38,18.18,13.68,23.29,-4.541,690.84,187.142,0.271,19.82,24.32,Pebble,0.815,1.13,0.09,0.478,0.36,47.842,36,Bladed,0.8,Andesite,Igneous,Grayish white,
26,45,51.37,48.21,38.57,46.05,-5.525,2476.548,1487.645,0.601,3.16,12.8,Pebble,0.247,-1.9,0.2,0.938,0.751,93.849,75.083,Equant,0.8,Sedimentary,Sedimentary,"Weathered, white, powdery, no grains visible",for thin section
27,32,44.94,40.36,30.51,38.6,-5.271,1813.778,930.86,0.513,4.58,14.43,Pebble,0.317,-1.24,0.171,0.898,0.679,89.809,67.891,Equant,0.6,Unidentifiable,Others,"Weathered, platy",
28,32,42.17,32.76,22.5,32.48,-5.021,1381.489,506.25,0.366,9.41,19.67,Pebble,0.478,-0.12,0.122,0.777,0.534,77.686,53.355,Oblate,0.8,Unidentifiable,Others,Weathered,
29,22.6,25.84,18.23,5.39,16.49,-4.043,471.063,29.052,0.062,7.61,20.45,Pebble,0.372,-0.27,0.021,0.705,0.209,70.55,20.859,Oblate,0.7,Andesite,Igneous,,
30,22.6,48.33,29.06,23.18,33.52,-5.067,1404.47,537.312,0.383,19.27,25.15,Pebble,0.766,1.28,0.128,0.601,0.48,60.128,47.962,Bladed,0.9,Unidentifiable,Others,"Dark red brown, platy, weathered",for thin section
31,32,50.79,32.11,22.63,35.18,-5.137,1630.867,512.117,0.314,18.68,28.16,Pebble,0.663,0.73,0.105,0.632,0.446,63.221,44.556,Bladed,,Unidentifiable,Others,"Lateralized, maroon colored",
32,32,62.21,37.45,20.43,40.03,-5.323,2329.765,417.385,0.179,24.76,41.78,Pebble,0.593,0.3,0.06,0.602,0.328,60.199,32.84,Bladed,,Unidentifiable,Others,,
33,22.6,22.61,20.36,15.18,19.38,-4.277,460.34,230.432,0.501,2.25,7.43,Pebble,0.303,-1.32,0.167,0.9,0.671,90.049,67.138,Equant,0.6,Peridotite,Igneous,"Black and shiny, like S20, weathered",
34,22.6,34.52,24.11,20.54,26.39,-4.722,832.277,421.892,0.507,10.41,13.98,Pebble,0.745,1.46,0.169,0.698,0.595,69.844,59.502,Oblate,,Unidentifiable,Others,,
35,22.6,46.7,31.55,27.48,35.24,-5.139,1473.385,755.15,0.513,15.15,19.22,Pebble,0.788,1.7,0.171,0.676,0.588,67.559,58.844,Oblate,,Unidentifiable,Others,white/orange grains,
36,22.6,31.27,22.36,14.42,22.68,-4.504,699.197,207.936,0.297,8.91,16.85,Pebble,0.529,0.13,0.099,0.715,0.461,71.506,46.114,Oblate,,Unidentifiable,Others,,
37,22.6,37.82,33.38,25.9,32.37,-5.016,1262.432,670.81,0.531,4.44,11.92,Pebble,0.372,-0.87,0.177,0.883,0.685,88.26,68.482,Equant,,Unidentifiable,Others,,
38,22.6,46.94,24.29,17.44,29.56,-4.885,1140.173,304.154,0.267,22.65,29.5,Pebble,0.768,0.99,0.089,0.517,0.372,51.747,37.154,Bladed,,Unidentifiable,Others,,
39,32,40.67,32.62,21.73,31.67,-4.985,1326.655,472.193,0.356,8.05,18.94,Pebble,0.425,-0.4,0.119,0.802,0.534,80.207,53.43,Oblate,,Andesite,Igneous,Weathered,
40,16,32.12,25.06,19.7,25.63,-4.68,804.927,388.09,0.482,7.06,12.42,Pebble,0.568,0.42,0.161,0.78,0.613,78.02,61.333,Oblate,,Andesite,Igneous,,
41,22.6,37.79,29.27,20.86,29.31,-4.873,1106.113,435.14,0.393,8.52,16.93,Pebble,0.503,0.02,0.131,0.775,0.552,77.454,55.2,Oblate,,Unidentifiable,Others,,
42,45,50.39,39.56,29.22,39.72,-5.312,1993.428,853.808,0.428,10.83,21.17,Pebble,0.512,0.07,0.143,0.785,0.58,78.508,57.988,Oblate,0.6,Unidentifiable,Others,,
43,32,37.9,33.92,21.76,31.19,-4.963,1285.568,473.498,0.368,3.98,16.14,Pebble,0.247,-1.45,0.123,0.895,0.574,89.499,57.414,Oblate,,Unidentifiable,Others,,
44,22.6,40.87,29.37,23.31,31.18,-4.963,1200.352,543.356,0.453,11.5,17.56,Pebble,0.655,0.88,0.151,0.719,0.57,71.862,57.034,Oblate,,Andesite,Igneous,,
45,32,43.59,40.82,29.03,37.81,-5.241,1779.344,842.741,0.474,2.77,14.56,Pebble,0.19,-2.06,0.158,0.936,0.666,93.645,66.598,Oblate,,Unidentifiable,Others,,
46,32,46.11,42.31,17.32,35.25,-5.139,1950.914,299.982,0.154,3.8,28.79,Pebble,0.132,-1.38,0.051,0.918,0.376,91.759,37.562,Oblate,,Unidentifiable,Others,,
47,22.6,32.88,29.9,12.8,25.19,-4.655,983.112,163.84,0.167,2.98,20.08,Pebble,0.148,-1.37,0.056,0.909,0.389,90.937,38.929,Oblate,,Andesite,Igneous,,
48,16,27.18,22.67,17.21,22.35,-4.482,616.171,296.184,0.481,4.51,9.97,Pebble,0.452,-0.3,0.16,0.834,0.633,83.407,63.319,Oblate,,Diorite,Igneous,coarse grained,
49,16,19.9,19.76,16.37,18.68,-4.223,393.224,267.977,0.681,0.14,3.53,Pebble,0.04,-3.79,0.227,0.993,0.823,99.296,82.261,Equant,,Unidentifiable,Others,,
50,16,28.42,22.25,14.71,21.79,-4.446,632.345,216.384,0.342,6.17,13.71,Pebble,0.45,-0.26,0.114,0.783,0.518,78.29,51.759,Oblate,,Unidentifiable,Others,,
51,16,28.12,23.08,18.95,23.38,-4.547,649.01,359.103,0.553,5.04,9.17,Pebble,0.55,0.33,0.184,0.821,0.674,82.077,67.39,Equant,,Unidentifiable,Others,,
52,16,27.17,19.14,15.12,20.48,-4.356,520.034,228.614,0.44,8.03,12.05,Pebble,0.666,0.93,0.147,0.704,0.556,70.445,55.65,Oblate,,Unidentifiable,Others,,
